date,warehouse_name,num_orders
2024-01-01,300-336 Penn Ave Heidelberg Township,118
2024-01-01,600 Arsenal Rd,23
2024-01-02,300-336 Penn Ave Heidelberg Township,317
2024-01-03,300-336 Penn Ave Heidelberg Township,45
2024-01-03,600 Arsenal Rd,1
2024-01-04,300-336 Penn Ave Heidelberg Township,14
2024-01-05,300-336 Penn Ave Heidelberg Township,46
2024-01-06,300-336 Penn Ave Heidelberg Township,93
2024-01-07,300-336 Penn Ave Heidelberg Township,82
2024-01-08,300-336 Penn Ave Heidelberg Township,41
2024-01-08,,1
2024-01-09,15515 Woodham Dr,1
2024-01-09,777 Freeport Parkway,1
2024-01-09,300-336 Penn Ave Heidelberg Township,1
2024-01-09,"3101 Holcombe Blvd,",1
2024-01-09,"3100 East Holcombe Blvd.,",1
2024-01-10,300-336 Penn Ave Heidelberg Township,7
2024-01-10,600 Arsenal Rd,1
2024-01-10,15515 Woodham Dr,1
2024-01-10,777 Freeport Parkway,1
2024-01-10,"3100 East Holcombe Blvd.,",1
2024-01-10,"3101 Holcombe Blvd,",1
2024-01-11,"3101 Holcombe Blvd,",4
2024-01-11,15515 Woodham Dr,3
2024-01-11,300-336 Penn Ave Heidelberg Township,2
2024-01-11,"3100 East Holcombe Blvd.,",3
2024-01-11,3100 East Holcombe Blvd.,2
2024-01-11,777 Freeport Parkway,3
2024-01-13,300-336 Penn Ave Heidelberg Township,3
2024-01-13,600 Arsenal Rd,1
2024-01-15,600 Arsenal Rd,1
2024-01-15,300-336 Penn Ave Heidelberg Township,3
2024-01-16,300-336 Penn Ave Heidelberg Township,4
2024-01-17,300-336 Penn Ave Heidelberg Township,5
2024-01-18,300-336 Penn Ave Heidelberg Township,2
2024-01-19,300-336 Penn Ave Heidelberg Township,5
2024-01-20,600 Arsenal Rd,1
2024-01-20,300-336 Penn Ave Heidelberg Township,4
2024-01-21,600 Arsenal Rd,1
2024-01-21,300-336 Penn Ave Heidelberg Township,6
2024-01-22,300-336 Penn Ave Heidelberg Township,3
2024-01-24,300-336 Penn Ave Heidelberg Township,1
2024-01-25,300-336 Penn Ave Heidelberg Township,3
2024-01-25,15515 Woodham Dr,1
2024-01-26,300-336 Penn Ave Heidelberg Township,1
2024-01-29,300-336 Penn Ave Heidelberg Township,5
2024-01-30,300-336 Penn Ave Heidelberg Township,2
2024-01-31,300-336 Penn Ave Heidelberg Township,5
2024-01-31,"3100 East Holcombe Blvd.,",1
